Name of the workshop,Place,City/District,State,Region,Name of the Workshop Owner,Contact Number,Address,Pincode,
RAHUL AUTO PARTS,Kopar Khairane,Navi Mumbai,Maharashtra,West,Babban Prasad,8652641126,Shop no 1 plot no 6 sector no 1 ghansoli ,400701,
SMITH AUTO PARTS,PADGHA,THANE,Maharashtra,West,RAJENDRA,8983428881,"Opp. Bank of Maharashtra, at- Post- Padgha",421101,
JACK GEARS,MIRA ROAD,MUMBAI,Maharashtra,West,RAMESH SHARMA,9820548268,"Shop no.2-3-4-5, Neelkanth Tower, B/h Bank of Baroda, Kanakia, Mira Road",401107,
RATNADEEP AUTOMOBILES,AMBADI,THANE,Maharashtra,West,DILIP PATIL,8888278855,"At- Ambadi, Ta- Bhivandi",441202,
YAKSH AUTO CARE,DAHANU,DAHANU,Maharashtra,West,BHARAT RAO,9226564820,"Shop no 13-14, Building 8 , KT Nagar",401602,
VINAYAK AUTO GARAGE,MANGAON,RAIGADH,Maharashtra,West,M.B.MEHTA,9421963101,"Bombali road, Mangaon",402104,
NIDHIN AUTO GARAGE,MANGAON,RAIGADH,Maharashtra,West,JANARDHAN,9422494027,"Shree Krisha complex, Mangaon",402104,
KALYANI AUTO PARTS,DAPOLI,RATNAGIRI,Maharashtra,West,KALYANI AUTO PARTS,9209483020,"Gadital, Dapoli",415712,
KHODIYAR AUTO,SIMADA,SURAT,Gujarat,West,KHODIYAR AUTO,9825839095,"Shop no.18, Krishna Shopping, Sangna society, ",395010,
JAY KHODIYAR AUTO GARAGE,PUNAGAM,SURAT,Gujarat,West,JAY KHODIYAR AUTO GARAGE,9913338133,"B/11, Shiv shakti society, Kargil chowk",395006,
JAY SHREE KHODIYAR AUTO GARAGE,VARACHHA,SURAT,Gujarat,West,JAY SHREE KHODIYAR AUTO GARAGE,9825546177,"Shop no.8, A-Ashopalav apartment, Opp. Himmatnagar shakmarket, A K Road",395006,
SAI AUTO PARTS,SAYAN,SURAT,Gujarat,West,SAI AUTO PARTS,9825607201,"Opp. Omkar ply, Olpad Sayan Road",394130,
DARSHAN AUTOMOBILES & GARAGE,SHAHUNAGAR,NASHIK,Maharashtra,West,DARSHAN AUTOMOBILES & GARAGE,9766889952,"4/5/6, Riyanka Apartment, ITI pulajval, Shahu nagar ",422008,
GADEKAR AUTO,YEOLA,NASHIK,Maharashtra,West,GADEKAR AUTO,9822338732,Vinchur Road,423401,
SHREERAM AUTO GARAGE,SATANA,NASHIK,Maharashtra,West,SHREERAM AUTO GARAGE,9420004239,Devala road,423301,
CHANDAN AUTOMOBILES,DINDORI,NASHIK,Maharashtra,West,CHANDAN AUTOMOBILES,8421636040,At-Post & TA,422202,
JAI MATADI AUTOMOBILES,SINNAR,NASHIK,Maharashtra,West,JAI MATADI AUTOMOBILES,9975988501,Vavives,422103,
SAIRAJ AUTOMOBILE,KANASHI,NASHIK,Maharashtra,West,SAIRAJ AUTOMOBILE,9405306162,"At & Post - Kanashi, Ta-Kalwan",423502,
SS SERVICE CENTER,SEAWOODS,NAVI MUMBAI,Maharashtra,West,SS SERVICE CENTER,9833007535,"Sadguru Pride CHS, Shop number-4, Plot no-4, Plot no.6-Sector-42A",400706,
SAIDEEP CAR SERVICE,AHMEDNAGAR,AHMEDNAGAR,Maharashtra,West,SAIDEEP CAR SERVICE,9960023533,"Nagar Manmad highway, Bolhegaon phata, Near Sina bridge",414001,
J.R.AUTO GARAGE,DOMBIVALI,THANE,Maharashtra,West,DEVDAS NADAR,8097022236,"Shop No.1, Ganesh Niwas, Dindayal cross road",421202,
RADHASWAMI AUTO GARAGE & SERVICE STATION,VARACHHA,SURAT,Gujarat,West,JITENDRABHAI PANSARA,9924864802,"Shop no.3, Plot no. 198, Ram nagar society, Khodiyar nagar road",395006,
SHIVSHAKTI AUTO PARTS,NAROLI,SILVASSA,Gujarat,West,JIGNESHBHAI SOLANKI,9825184839,"Naroli char rasta, ta: Silvasa, Dist: Dadra Nagar Haveli",396235,
PATEL AUTO PARTS,DHARAMPUR,DHARAMPUR,Maharashtra,West,MINTU PATEL,9825169118,"Taluka panchayat shopping center, Shop no.6, Opp. Kumar school",396050,
SHREE GANESH AUTOMOBILES GARAGE & OIL,BADLAPUR,THANE,Maharashtra,West,ATUL SAKPAL,8626013128,"Near HP Petrol pump, Katrap road",421503,
HARI OM HERO HONDA SERVICE,TASGAON,SANGLI,Maharashtra,West,SHINIVASH MAHENDRAKAR,9766807806,"Sangali Naka, Tasgaon Dist ",416312,
VEDANT AUTO GARAGE,TASGAON,SANGLI,Maharashtra,West,UMESH PAWAR,9637392730,"Bhilodi Road, Tasgaon Dist ",416312,
SHREE SAI SIDDHI AUTOMOBILES,PARLI-VAIJINATH,BEED,Maharashtra,West,VIJAY ADHAV,9422742016,"Shivaji Chowk, Parli, Vaijinath",431515,
Shree Ganesh Motors,Walwa,Sangli,Maharashtra,West,Mr. Harishchandra Shinde,9975958909,"Krishna, Complex, Aamrai road",416416,
Rasid Garage,Karad,Satara,Maharashtra,West,Mr. Rashid Mulla,9922444853,"348, Shaniwar Peth",415110,
Om Automobiles,Umred,Nagpur,Maharashtra,West,Mr. Kishor Haribhau Rode,8007491351,"Pande Layout, Bela, Ta-Umred, Dist. - Nagpur-441108",441108,
Yashoda Automobiles,Wardha Road,Nagpur,Maharashtra,West,Mr. Rameshwar Pundlik Bhure,9860089375,"Plot No.13/2, Satnaji society, Butibori",441108,
Nilesh Automobiles,Umred,Nagpur,Maharashtra,West,Mr. Ravindra Mate,9604533292,"At & Post - Bela, Tehsil ",441108,
Raj Automobile,Caranzalem,Talegaon,Goa,West,Mr. Rajendra Tari,7822127001,"Viegas morod, caranzalem",403002,
Koteshwar Auto Garage,Pusegaon,Satara,Maharashtra,West,Mr. Vikas Katkar,7755947329,"Phaltan road, Tal-Khatav,",415502,
VIJAY AUTOMOBILE,Gadhinglaj,Kolhapur,Maharashtra,West,Vijay Deulkar,9822866429,Aajra road,416502,
BAJAJ AUTOMOTIVE,Gadhinglaj,Kolhapur,Maharashtra,West,Rujay Farnandes,9423281031,Aajra road,416502,
PENDSE AUTO GARAGE,,,Maharashtra,West,,9869187372,"At & Post - Diveagar, Ta- shree Vardhan, Dist -Raigad - 402404",402404,
HINDUSTAN AUTO GARAGE,Ashta,Sangli,Maharashtra,West,Mr. Shoukat Mujawar,9921237468,Main Road,416312,
Baban Servicing Center,Rashim Bagh,Nagpur,Maharashtra,West,Subhas Sadashivarao Revatkar,9373198361,"Rashim Bagh, Near Mahatma Phule Sabhagruh",440009,
GURUDATTA AUTO WORKS,Walwa,Sangli,Maharashtra,West,Mr. Abhijeet Nikam,7775959895,"Shamnagar, Islampur",416313,
MUNNA AUTO GARAGE,Raigadh,Pali ,Maharashtra,West,,9028373411,Pareli,402104,
RAUT AUTO CARE & SPARES,Mapusa Market,Mapusa,Goa,West,Mr. Jalesh Raut,9860031331,"Anant Apartment, Angod",403507,
Bike Service Point,KALIPUTLI CHOWk,Balaghat,Madhya Pradesh,West,Mr. SHARIF BHAIJAN,9229558612,"KaliPutali Chowk, In front of Traffic Police station, Hanuman mandir Gali",418001,
R.K. Automobiles,Rishod,Washim,Maharashtra,West,Mr. Rahamad Khan,9423430644,"Loni Road, APMC Complex, Rishod",444506,
Liyakat Auto Center,Kavathe-Mahankal,Sangli,Maharashtra,West,Mr. Liyakat Ramjan Ghekade,9421129486,"Jath Road K Mahankal, Near Prashant Auto spare, Kavathe-Mahankal",416416,
Amol Auto Center,Kavathe-Mahankal,Sangli,Maharashtra,West,Mr. Amol Dnyandev Londhe,9421184377,"Jath Road, Kavathe-Mahankal, Kavathe-Mahankal",416405,
Vijay Auto Garage,Kavathe-Mahankal,Sangli,Maharashtra,West,Sachin Manik Harale,9096391473,"Nagaj Phata, Kavathe-Mahankal",416405,
S.S.Motor Garage,Gokul Shirgaon,Kolhapur,Maharashtra,West,,9765157906,"Pune Banglore Highway, Opp. Konduskar Petrol pump, Gokul Shirgaon",416013,
Mahalaxmi Auto Service,Ramanandnagar,Kolhapur,Maharashtra,West,Mr. Satish Hiremath,9766802797,Ramanand Nagar,416003,
Ranjeet Auto Repairs & Service,Marwar Junction,Pali,Rajasthan,West,Mr. Ranjeet Gurjar,9772591330,"Opp. Petrol Pump, Jadan Road",306001,
Aajrekar Motor Garage,Near Idgah,Sangli,Maharashtra,West,Mr. Shmim Abbas Mangaonkar,8806499448,"Near idgah, sangli city",416416,
Vitthal Motors,New Nanded By Pass,Latur,Maharashtra,West,Vitthal Kangane,7038842042,Opp. Indian Oil Petrol Pump,413512,
Dhan Laxmi Auto Parts & Repairs,Ahore,Jalore,Rajasthan,West,Mr. Suja Ram Choudhary,9602509297,"Jodhpur Road, Bhadrajune,Tah",307029,
Ramdev Auto Parts & Repairs,Sanchore,Jalore,Rajasthan,West,Mr. Bhanwar Lal,8290922531,"Post – Khara, Tahsil ",343041,
Car Care Center,Kolhapur gargoti Road,Mudaltitta,Maharashtra,West,Mr. Kiran Gaurav,9421283169,"Kolhapur gargoti road, Near P.b Patil highschool ",416209,
Ajay Auto Parts & Repairing,Guraya Road,Chhindwada,Madhya Pradesh,West,Mr. Ajay Choubitker,9424990380,"New Sabji mandi, Guraya Road",480001,
Dipak Auto Garage,Hiwarkhed,Akola,Maharashtra,West,Mr. Dipak Aswar,9665335723,"Main Road, Near State Bank, Hiwarkhed, Akola",444103,
Mangal Auto Services,Gulabpura,Bhilwara,Rajasthan,West,Virdi Chand Tailor,9214637233,"Hurda Road, Gulabpura",311021,
Mauli Auto Center,Opp Bidri Sugar Factory,Bidri,Maharashtra,West,Mansing Patil,9881626363,"Main Road, Opp. Bidri Sugar Factory",416208,
Lokpriya Motor Garage,Gokul Shirgaon,Kolhapur,Maharashtra,West,Mr. Abdulgani Ismailso Shaikh,8087934555,Near Sudarshan Petrolpump,416234,
Shakti Motor Garage,Waghwadi Phata Peth Islampur,Sangli,Maharashtra,West,Mr. Bajirao Ghalge,9423272383,NH-4 Highway,415409,
Rajesh Motor Garage,Ganpati Peth,Sangli,Maharashtra,West,Mr. Rajesh Dattu Dabde,9423267076,Old Truck Area,416610,
Ankal Motors,Karad,Satara,Maharashtra,West,Mr. Sunil Janardhan Kundale,9890624607,"Pune-Banglore Road, Near Anapurna Hotel,A/P:- Gote Tal:-Karad",415124,
Someshwar Auto Center,Shirval,Satara,Maharashtra,West,Mr. Deepak Sadashiv Bhandvalkar,9766561645,"Main Road, Near Bharat Petrolpump",412801,
Sailani Auto Garage,Mangrulpir,Washim,Maharashtra,West,Mr. Abdul Rahman Mohd. Shabbir,9850418356,"Karanja Road, Next To Pragati Automobiles, Mangrulpir",444403,
Golden Auto Garage,Shiroli,Kolhapur,Maharashtra,West,Mr. Jailuddin Desai,8862000771,"Desai Mohlla, Main Road",416122,
Hasanali Auto Mechanical Works,"Near Karale Servicing Center , Shejari",Sangli,Maharashtra,West,Mr. Hasanali Sattar Ladji,9765784304,"Juna Budhgaon Road, Near Karale Servicing Center",416416,
Shree Swami Samarth Service point,Tisgaon,AHMEDNAGAR,Maharashtra,West,Mr. Balasaheb Mahaske,9423756758,"Shop No. 02, Grampanchayat , Shopping Center, Nagar Road, ",414106,
Shivam Service Point,Tisgaon,AHMEDNAGAR,Maharashtra,West,Mr. Deepak Sawant,9922148954,"Meri Road, Opp. Bpcl Pump",414106,
New Sachin Automobiles,Sahyadri Mini Market,NASHIK,Maharashtra,West,Mr. Tanaji Kisan Rankhamb,9881749477,"Shop No. 02 , Sahyadri Mini Market, Near Ambad Police Station, ",422009,
Arihant Auto Garage,Khandala,Satara,Maharashtra,West,Mr. Sandeep Dattatray,9922816186,"Opp.Joglekar Hospital, Pune-Banglore Highway, A/P:-Shirval Tal",412801,
Mahindra Tractor Garage,Khandala,Satara,Maharashtra,West,Mr. Shamkant Maruti Bhosale,9421119659,"Opp.Joglekar Hospital, Pune-Banglore Highway,A/P:-Shirval Tal.",412801,
Shree Ganesh Tyres and Oil,Dhankawadi,Pune,Maharashtra,West,Mr. Maruti Renuse,9860717626,"Survey .No-13D/1, Shop No.6, Teen Hatti Chowk , Shambhaji Nagar",411043,
Super Diamond Garage,Lalbara,Balaghat,Madhya Pradesh,West,Mr. Sheikh Sahezade,8878357042,"Main Road, Lalbara, Dist- Balaghat",481441,
Tushar Auto Repairs & Service Center,Mansarovar,Jaipur,Rajasthan,West,Mr. Bhagchand Kumawat,9828053027,"110,Sumer Nagar -II, Agrawal Farm, Kalayanpura, Mansarovar",302020,
Mahalaxmi Auto Service Center,Mahud,Solapur,Maharashtra,West,Santosh Kumbhar,9657200341,"Mahalaxmi Auto Service Center, Akluj Road",413306,
R.M.Auto Works,Gokul Shirgaon,Kolhapur,Maharashtra,West,Mr. Mukttat Gous Makandar,9922472902,"Near Konduskar Petrol pump, P.B. Road",416234,
India Motors,Indapur,Pune,Maharashtra,West,Mr. Vasim Ismail Sheikh,9552522277,"Opp. Hotel Jalasa, Pune-Solapur Highway",413106,
Universal Automobiles,Islampur,Ratnagiri,Maharashtra,West,Mr. Rajendra Anna Masal,9822086084,Opp. Reliance Petrol Pump,415409,
Gurukrupa Automobiles,Vedagaon Sheri,Pune,Maharashtra,West,Mr. Gopal Roy,8087637381,"Shop No-7, Gardenia Phase-2,Near Shubham Bus Stop",411014,
Jitendra Automobiles,Chandan Nagar,Pune,Maharashtra,West,Mr. Jitendra Firodiya,9823358008,"DattaPrasad Hsg. Soc., Near Khalasa Gym.,Sangharsh Chowk",411014,
Bajrang Honda Care,Sirsi Road,Jaipur,Rajasthan,West,Mr. Bajrang Lal Kumawat,9982186453,Pachyatwala Bus Stand,302034,
New Mauli Tractor Garage,Wadvani,Beed,Maharashtra,West,Mr. Balasaheb Rohidas Savase,7083921919,"Beed Road,",431144,
Om Auto Spare & Servicing,Wadgaon Sheri,Pune,Maharashtra,West,Mr. Deepak Mhaske,9850569914,Anand Park,411014,
Indore Mechanics,Mishra Nagar,Indore,Madhya Pradesh,West,Shishir Varde,8962945326,"13, Mishra Nagar, Annapurna Road",452009,
Pathan Tractor Service Center,Wadvani,Beed,Maharashtra,West,Mr. Shaikh Anwar Gulab,9730949677,Beed Road,431144,
Autogenii Car Care Service,Vishal Nagar,Pune,Maharashtra,West,Mr. Akash Chandrashekhar Naik,8055533601,"Survey No-12, Besides 24 K, Before Sathe Petrol Pump, Dp Road, Vishal Nagar, Pimple Nilakh",411027,
Mauli Auto Garage,Umri Naka,Akola,Maharashtra,West,Mr. Ravindra Patekar,9763771709,Opp. Durga Mata Mandir,444001,
Shri Sai Tractor Garage,NH-4 Highway,,Maharashtra,West,Mr. Sambhaji Shinde,9823833921,"Shri Sai Tractor Garage, Vathar Vadgaon Road",416112,
Pooja Automobiles,Panvel,Raigad,Maharashtra,West,Mr. Venkat Laxman Reddy,9821107961,"Shop No. 9, Sneh Garden, R.G. Gadkari Road, Behind Aadarsh Hotel",410206,
Gholap Auto Garage,Majalgaon,Beed,Maharashtra,West,Mr. Shiddheshwar Shivaji Gholap,9604309393,"Gevroi Road, Majalgaon",431131,
Shri Mahakali Tractors Workshop,Kavthemahankal,Sangli,Maharashtra,West,Mr. Pravin Sadashiv Bansode,8600530640,Dhulgaon Road,416405,
Aaba Honda & Bajaj Service,Kagal,Kolhapur,Maharashtra,West,Mr. Bandopant Dattaray Metil,9764198575,"Gargoti Road, Opp. Datt Temple, Bidri ",416208,
Shri Gurukrupa Hero Honda Service,Kavthemahankal,Sangli,Maharashtra,West,Mr. Dhiraj Latavde,9158736689,"Main Road, Jath Road",416405,
Eco Car Spa,Palegaon Chowk,Ambarnath (E),Maharashtra,West,Mr. Bhusan Yashwant Zambre,8888173300,"Survey No.33/3, Palegaon Chowk, Near Anand Sagar Resort, Pipeline Road",421501,
Dhananjay Mistri Motor Garage,Akluj,Solapur,Maharashtra,West,Mr. Dhanaji Khusaba Pawar,9763383071,Ganesh Nagar ,413101,
S.K.Motor Garage,Nanded Road,Latur,Maharashtra,West,Mr. Sheru Bhai,9767775180,Basvshwar Chowk,413512,
Aakash Tractor Garage,Majalgaon,Beed,Maharashtra,West,Mr. Ganesh Babasaheb Mane,9921737915,Dharur Road,431131,
Majisa Auto Parts,Mokalsar,Barmer,Rajasthan,West,Mr. Nitesh Bissa,9680684848,Railway Station Road,344043,
Jotirling Tractor Garage,bhudargad,Kolhapur,Maharashtra,West,Mr. Dattatray Shamrao Songekar,9765643294,"Aadmapur Road, Mudhaltitta",416216,
Jarnail Gurmail Motor Repairing Works,Automobile Nagar,Jaipur,Rajasthan,West,Mr. Jarnail Singh,9929422009,B/1/38 Automobile Nagar ,302003,
Kedarnath Bike Point,Radhanagari,Kolhapur,Maharashtra,West,Mr. Rahul Patil,9834229725,"Chandre, ",416221,
New Sairaj Motor CYcle Works,Panchvati,NASHIK,Maharashtra,West,Mr. Jitendra Ashok Khairnar,9850773483,"Shop No. 05 , Shivani Heights, Makhmalabad Naka ",422003,
Mahendra Gosavi Servicing Center,Shukravar Bazar,Akola,Maharashtra,West,Mr. Mahendra Gosavi,8483923000,"Nanakseth Nebhnani Complex, Shukravar Bazar, Near Railway Flyover, Murtizapur",444107,
HMT Tractor Garage,,Sangli,Maharashtra,West,Ilai Allibhai Mulani,9423273131,100ft Road,416415,
Aappa Tractor Garage,,Sangli,Maharashtra,West,Basavraj Sanghappa Sutar,9765985761,Sangli Kolhapur Road,416410,
Friends Motor Garage,,Kolhapur,Maharashtra,West,Irshad Momin,9922195025,"Ganganagar , Ichalkaranji Sangli Road, Ichalkaranji , Tal-Hatkanangle ",416117,
Anil Auto Garage,,Sangli,Maharashtra,West,Datta Laxman Pawar,8888621231,"Dighanchi, Ta- Aatpadi",415315,
Shriram Automobiles,,Sangli,Maharashtra,West,Pravin Ananta Shinde,9970789916,"S T Stand Shejari, Dighanchi Aatpadi Road,Dighanchi, Ta- Aatpadi",415315,
Shri Gurudatt Garage,,Sangli,Maharashtra,West,Rajendra Shingare,9890273758,"Dighanchi Chouk , Atapadi Dighanchi Road, Near Kisan Tyres , Dighanchi, Tal-Atapadi",415315,
Sandip Tractor Garage,,Sangli,Maharashtra,West,Sandip Balaso Khorphale,9730736408,"Opp. Reliance Petrol pump, Sangli Islampur Road , Tal-Walwa",415414,
Raj Motor Garage,,Beed,Maharashtra,West,Sayed Moin Sayad Tahesin,9823854888,"Jalna Road, Opp.Khaja Complex",431122,
Dosti Motor Garage,,Parbhani,Maharashtra,West,Shaikh Yunus Babamiya,9623248370,"Dosti Motor Garage, Parli Road, Gangakhed, ",431514,
Mauli Motors,,Beed,Maharashtra,West,Ashok Uttam Panjage,9420575734,"Beed- Jalna Road, Georai",431127,
Shivshakti Auto Parts,,Shevgaon,Maharashtra,West,Santosh Babruwan Langar,9850222364,"Meri Road , Nath Nagar",414502,
Om Sai John Deere Tractor Garage,,Beed,Maharashtra,West,Amol Dilip Bhore,7517909214,"Beed- Parli Road, Telgaon",431131,
Royal Auto Garage,,Bhusawal,Maharashtra,West,Wasim Malik,7972929825,"M. V. Complex, Shop No. 41, Tar Office Road",425201,
Shree Auto Parts & Garage,Khandala,Satara,Maharashtra,West,Deepak Eknath Bhurbhude,9763370882,"Post: Shindewadi, Taluka: Khandala",416221,
Shreeram Tractor Garage,Indapur,Pune,Maharashtra,West,Deepak Bhoite,9960731634,"Pune-Solapur Road, Near ST Stand, At: Bhigwan, Taluka: ",413130,
Sahara Motors,,Beed,Maharashtra,West,Mukhtar Noor Shaikh,9822625650,Near Heena Petro Pump,431122,
Jagdamba Tractor Garage,Bhigwan,Pune,Maharashtra,West,Bapu Ramdas Dhonde,9096784275,"Opp. ST Stand, Pune-Solapur Highway,At",413130,
Shree Mahadeo Auto,Panhala,Kolhapur,Maharashtra,West,Tanaji Balwant Patil,9049603638,"Main Road, Bazar Bhogaon, Taluka",416205,
Shree Samarth Krupa Automobiles,Lanja,Ratnagiri,Maharashtra,West,Sachin Pawar,9423293603,"Near BSNL Office, Korle Road, At:",416701,
Trambakraj Tractor Garage,Trambakeshwar,NASHIK,Maharashtra,West,Pappu Waman Aachare,9767638078,"Nashik-Trambak Road, At:",422212,
Bhosale Motors,Mangalwedha,Solapur,Maharashtra,West,Pravin Bhosale,9096939224,"Opp. Damaji College, Gopabai Chowk, Byepass Road",413510,
Shree Sai Tractors,Pandharpur,Solapur,Maharashtra,West,Sandeep B. Dukare,9028333444,"Near Satwai Mandir, Kumbhar Galli, New Solapur Road",413304,
Shlok Automobiles & Service Centre,Kandalgaon,Solapur,Maharashtra,West,Suresh Kamate,9561888646,"Near Bank of India, Telgaon Road",413221,
Hanuman Tractor Garage,Malshiras,Solapur,Maharashtra,West,Navnath Madne,9970862175,Akluj Road,413107,
Siddhi Motors,Sangola,Solapur,Maharashtra,West,Deepak Shinde,7588506133,"Opp. Gouri Petro Pump, Miraj Road",413307,
Kothari Tractor Garage,Mandrup Road,Solapur,Maharashtra,West,Nagnath Yallappa Bangare,9421064107,"13 Miles, Basav Nagar",413213,
M. K. Garage,Sangola Road,Sangli,Maharashtra,West,Mahesh Kisve,9823248566,"Near Alfonsa School, Sangola Road, Jath",416404,
Ganapati Motors,Sedwa,Barmer,Rajasthan,West,Om Prakash Bishnoi,9950830019,"Vishnu Market, Bakhasar Road",344706,
Sachin Auto Garage,Pankaj Nagar,Jalgaon,Maharashtra,West,Dhananjay Suryavanshi,9011641565,"Swapnabhumi', Chanda Gauri Nagar, Pankaj Nagar Stop, Yawal Road, Chopada",425107,
Durrani Garage,Kawa Naka,Latur,Maharashtra,West,Durrani Sharif Khan,9922737517,"Basaveshwar Chowk, Opp. Shahu College",413512,
Hero Honda Service Centre,Sikandra,Dausa,Rajasthan,West,Manohar Lal Yogi,9680566998,"Bhandari Road, Sikandra Choraya",303326,
Chandrant Motor Garage,Sangola,Solapur,Maharashtra,West,Shrikant Gangaram Patil,9604672525,"Miraj Pandharpur Road, Sangola",413307,
Bhairavnath Auto & Spare Part,Atapadi,Sangli,Maharashtra,West,Balasaheb Shivaji Sagar,8888708855,"Opp. Market Compound, Atapadi",415301,
Luis Garage,Santa Cruz,North Goa,Goa,West,Luis D’Sauza,7038204450,"Corte Real, Off. Shantadurga Temple",403005,
Shree M. D. L. Garage,Kolhapur,Kolhapur,Maharashtra,West,Deepak Vasantrao Lohar,9850898196,"Ujlaiwadi, Opp. Pravin Petrol Pump, NH-4",416004,
New Bombay Motor Garage,Latur,Latur,Maharashtra,West,Pathan Khajakha Hasimkha,9890016817,"Basveshwar Chowk, Nanded Road, Kavha Naka",413512,
Barku Motor Garage,Ahamadpur,Latur,Maharashtra,West,Sayyed Ayyub,9370601186,"M.G. College Road, Ahamadpur",413515,
Tirupati Motors Garage,Ahmedpur,Latur,Maharashtra,West,Navnath Munde,9420873123,"Near Prasad Garden, Latur Road, Ahmedpur",413515,
Mauli Hero Honda Works,Aurad Shahajani,Latur,Maharashtra,West,Datta Vithal Yedate,9881839002,"Latur-Bidar Road, Aurad Shahajani",413522,
Aashpak Tractor Garage,Palus,Sangli,Maharashtra,West,Imamdin Kashin Mulla,9890839202,"Opp. Honda Showroom, Sangli-Palus Road, Palus",416310,
Riyaz Auto Garage,Kavathe Mahankal,Sangli,Maharashtra,West,Riyaz Maner,9665651566,"Near Market Yard, Jat Road, Kavathe Mahankal",416405,
Shree Auto Parts & Repairing,Vita,Sangli,Maharashtra,West,Vishwas Ghanvat,9226797612,"Opp. Om Shree Hospital, Vita-Mayani Road",416405,
Shree Sai Auto Services,Sangli,Sangli,Maharashtra,West,Ajay Bavdekar,9881082008,"Gala No. 15, Opp. Tarun Bharat Stadium, Near Uday Hotel",416416,
Universal Tractor Garage,32 Shirala,Sangli,Maharashtra,West,Mubarak Panhalkar,9860851820,"Kokrud Chandoli Road, Near Prachiti Petrol Pump",415408,
Atul Motors,Unchagaon,Kolhapur,Maharashtra,West,Atul Naik,9130319932,"Shop No. 03, Near Hotel Rahi, NH-4",416005,
Bombay Motor Garage,"Jath, Sangli","Jath, Sangli",Maharashtra,West,Tukaram Borade,9850912967,"Valsang Road, Ahead of Shinde Petrol Pump",416404,
Shree Siddheshwar Spares & Repairing,"Jath, Sangli","Jath, Sangli",Maharashtra,West,Yogesh Mali,8329254924,"Near Pore Furniture, Guruwar Peth, Satara Road",416404,
SHREE MAHARASHTRA MOTOR GARAGE,32 Shirala,Sangli,Maharashtra,West,Ashok Shamrao Tandle,9637968798,"Opp. Police Station, Main Road",415408,
SHIV MOTOR DIESEL WORKSHOP,Kotputlai,Jaipur,Rajasthan,West,Lilaramji Saini,9414406548,Transport Nagar,303108,
VISHNU AUTO WORKS,SIVAKASAI,VIRDHUNAGAR,TAMIL NADU,South,ARUMUGAM,9843982621,"MADURAI MAIN ROAD SIVAKASI,",626123,
S.M.T TWO WHEELER WORKS,SIVAKASAI,VIRDHUNAGAR,TAMIL NADU,South,M.SARAVANAN,9994642539,", OPP BUS STAND, NEAR GANESH THEATRE,SIVAKASI",626123,
SIDHICK AUTO WORKS,PALLAPATTI,KARUR,TAMIL NADU,South,MR.SIDHICK,9003384440,", SHAROP TOWERS, OPP G.H, PALLAPATTI",639205,
FRIENDS TWO WHEELER WORKS,PERIYAKULAM,THENI,TAMIL NADU,South,MR.G.MADHAN,8608376181,",VADAKARAI, PERIYAKULAM",625601,
HAKKIM TWO WHEELER WORKS,RAMANATHAPURAM,RAMANATHAPURAM,TAMIL NADU,South,MR.S.HAKKIM,9894260524,"1/1105,FISH MARKET,BHARATHI NAGAR,RAMAND.",623503,
SATHYAMAVELLUM SPARES & WORKSHOP,ABRIMAM,RAMANAD,TAMIL NADU,South,MUTHURAMALINGAM,9043404006,"1/83,MADURAIMAIN ROAD,RMS COMPLEX,ABIRAMAM",623601,
SRI ANGALA PARAMESWARI AUTO WORKS,MANACHANALLUR,TRICHY,TAMIL NADU,South,S.MURGESAN,9566828409,"104,THURAIYUR MAIN ROAD,MANACHALLUR,TRICHY",621005,
SAKTHI MOHAN AUTO WORKS,SIVAGANGAI,SIVAGANGAI,TAMIL NADU,South,S.RAMAN,9047345198,"121/4, VARASANTHAI ROAD, MANAKUDI, SIVAGANGAI",630561,
M/S ARUL TWO WHEELER WORKS,Y.OTHAKADAI,MADURAI,TAMIL NADU,South,YUSUF,8695901001,"3,PALLIVASAL COMPLEX,Y.OTHAKADAI",625107,
JAWAHAR AUTO WORKS,GORIPALAYAM,MADURAI,TAMIL NADU,South,JAWAHAR,9443052364,"33,PATTARAI KARA STREET, GORIPALAYAM,MADURAI.",625002,
R.K TWO WHEELER WORKS,RAMANATHAPURAM,RAMANATHAPURAM,TAMIL NADU,South,R.KANNAN,9443190966,"65/A SICAL ROAD, OPP WOMEN ARTS COLLEGE",623503,
V3 TWO WHEELER MECHANIC WORKS,TRICHY,TRICHY,TAMIL NADU,South,K.KARTHIKEYAN,7200622984,"7,ANTHONIYARKOVIL STREET,MAARSINGPETTAI,BEEMANAGAR,TRICHY",620001,
APK TWO WHEELER WORKS,RAMANATHAPURAM,RAMANATHAPURAM,TAMIL NADU,South,PALANIKUMAR,9597226601,"ABDULKALAM NAGAR, KILAKARAI ROAD, SAKARAKOTTAI, RAMNAD.",623504,
GRAND BIKE HOUSE,SIVAKASAI,VIRDHUNAGAR,TAMIL NADU,South,K.R SATHISKUMAR,9790422443,"ALANGULAM MAIN ROAD,MARANERI,SIVAKASI",626124,
RAJ TWO WHEELER WORKS,RAMANATHAPURAM,RAMANATHAPURAM,TAMIL NADU,South,N.THANGARAJ,9952448150,"ALANZANKULAM,RAMNAD.",623512,
NILA S.R. TWO WHEELER WORKS & WATER SERVICE,THENI,THENI,TAMIL NADU,South,C.CHINNARAJ,9865146840,"ARANAMANAIPUDHUR ,THENI",625531,NEW ADDITION
